"filename", "language", "PHP", "JavaScript", "SQL", "XML", "Markdown", "JSON", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\ListBullet.php", "PHP", 172, 0, 0, 0, 0, 0, 0, 0, 0, 28, 36, 236
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\TableCell.php", "PHP", 123, 0, 0, 0, 0, 0, 0, 0, 0, 29, 37, 189
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\TableRowGroup.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 41
"c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\Text.php", "PHP", 92, 0, 0, 0, 0, 0, 0, 0, 0, 33, 34, 159
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\README.md", "Markdown", 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 64, 271
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\RELEASE.md", "Markdown", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 43, 158
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\UPGRADING.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 10, 22
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\bin\entities.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 27
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\composer.json", "JSON", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 41
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5.php", "PHP", 97, 0, 0, 0, 0, 0, 0, 0, 0, 123, 27, 247
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Elements.php", "PHP", 420, 0, 0, 0, 0, 0, 0, 0, 0, 170, 30, 620
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Entities.php", "PHP", 2230, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 2237
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Exception.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 11
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\InstructionProcessor.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 33, 3, 42
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\CharacterReference.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 29, 8, 62
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\DOMTreeBuilder.php", "PHP", 398, 0, 0, 0, 0, 0, 0, 0, 0, 182, 126, 706
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\EventHandler.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 84, 14, 115
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\FileInputStream.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 34
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\InputStream.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 67, 9, 88
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\ParseError.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 11
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\README.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 18, 54
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\Scanner.php", "PHP", 167, 0, 0, 0, 0, 0, 0, 0, 0, 196, 54, 417
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\StringInputStream.php", "PHP", 133, 0, 0, 0, 0, 0, 0, 0, 0, 160, 39, 332
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\Tokenizer.php", "PHP", 666, 0, 0, 0, 0, 0, 0, 0, 0, 361, 188, 1215
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\TreeBuildingRules.php", "PHP", 95, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 128
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\UTF8Utils.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 0, 99, 18, 178
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Serializer\HTML5Entities.php", "PHP", 1517, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 1534
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Serializer\OutputRules.php", "PHP", 344, 0, 0, 0, 0, 0, 0, 0, 0, 142, 68, 554
"c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Serializer\README.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 11, 33
